name,code,category,brand,model,serial,condition,quantity,ownership,location,warehouse,qr,description,notes,purchasePrice,replacementValue,currentBookValue
Tripode C-Stand GVM C330 Turtle-Base & Grip Arm Kit (10.5'),R-485,RIG,,,,Good,2,owned,,,1000295,Tripode C-Stand GVM C330 Turtle-Base & Grip Arm Kit (10.5'),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 485; Carpeta Rentman: Gripería/Tripodes; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Extension Grip Arm Impact 40"" (Black)",R-488,RIG,,,,Good,1,owned,,,1000296,"Extension Grip Arm Impact 40"" (Black)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 488; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Tripode Baby Stand Avenger w/ Leveling Leg (Chrome-Plated, 3.3')",R-489,RIG,,,,Good,2,owned,,,1000297,"Tripode Baby Stand Avenger w/ Leveling Leg (Chrome-Plated, 3.3')",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 489; Carpeta Rentman: Gripería/Tripodes; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Barra Baby Triple Header Avenger F900 (Chrome-Plated),R-490,RIG,,,,Good,3,owned,,,1000298,Barra Baby Triple Header Avenger F900 (Chrome-Plated),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 490; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Sliding Arm Support Impact w/ Hand Grip,R-492,RIG,,,,Good,1,owned,,,1000300,Sliding Arm Support Impact w/ Hand Grip,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 492; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Grip Head Impact 2.5"" (Chrome)",R-493,RIG,,,,Good,4,owned,,2D,1000301,"Grip Head Impact 2.5"" (Chrome)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 493; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Threaded Adapter Impact Rapid Baby to 3/8"" Male",R-494,RIG,,,,Good,11,owned,,6B,1000302,"Threaded Adapter Impact Rapid Baby to 3/8"" Male",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 494; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Case Impact Rolling for Three 52"" C-Stands",R-495,CAS,,,,Good,1,owned,,,1000303,"Case Impact Rolling for Three 52"" C-Stands",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 495; Carpeta Rentman: Maletas/Cases/Bultos/Cases; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Clamp Impact w/ 5/8"" Snap-In Pin",R-496,RIG,,,,Good,3,owned,,,1000304,"Clamp Impact w/ 5/8"" Snap-In Pin",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 496; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Snap-In Pin for Super Clamps Impact 5/8"" (Black)",R-497,RIG,,,,Good,1,owned,,,1000305,"Snap-In Pin for Super Clamps Impact 5/8"" (Black)",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 497; Carpeta Rentman: Gripería/Accesorios Gripería; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Batería Watson Pro 14.4V 95Wh Slim (Gold Mount),R-499,BATT,,,,Good,12,owned,,3A,1000307,Batería Watson Pro 14.4V 95Wh Slim (Gold Mount),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 499; Carpeta Rentman: Power/Baterías; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cargador Batería Watson Pro Dual Position (Gold Mount),R-500,POW,,,,Good,2,owned,,3A,1000308,Cargador Batería Watson Pro Dual Position (Gold Mount),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 500; Carpeta Rentman: Power/Cargadores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Plate SHAPE V-Mount to Gold Mount Converter,R-501,ACC,,,,Good,3,owned,,2A,1000309,Plate SHAPE V-Mount to Gold Mount Converter,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 501; Carpeta Rentman: Accesorios/Plates; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Plate SHAPE Pivoting for Shogun 7 Monitor Cage (V-Mount),R-502,ACC,,,,Good,5,owned,,2A,1000310,Plate SHAPE Pivoting for Shogun 7 Monitor Cage (V-Mount),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 502; Carpeta Rentman: Accesorios/Plates; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Magliner Nose 5/8"" Baby Pin Dual",R-503,MON,,,,Good,1,owned,,,1000311,"Magliner Nose 5/8"" Baby Pin Dual",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 503; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable AC XLR 4 Pins 10ft,R-515,POW,,,,Good,5,owned,,02 A,1000323,Cable AC XLR 4 Pins 10ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 515; Carpeta Rentman: Power/Alimentadores AC/No Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Power AC AJA,R-516,POW,,,,Good,2,owned,,,1000324,Power AC AJA,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 516; Carpeta Rentman: Power/Alimentadores AC/Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Video BNC 1ft (Skinny),R-518,SIG,,,,Good,35,owned,,08 D,1000326,Cable Video BNC 1ft (Skinny),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 518; Carpeta Rentman: Cables/Cables Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Video BNC 3ft,R-519,SIG,,,,Good,2,owned,,08 D,1000327,Cable Video BNC 3ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 519; Carpeta Rentman: Cables/Cables Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Regleta IKEA,R-532,POW,,,,Good,15,owned,,02 A,1000340,Regleta IKEA,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 532; Carpeta Rentman: Power/Regletas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Extensión Eléctrica,R-533,POW,,,,Good,4,owned,,,1000341,Extensión Eléctrica,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 533; Carpeta Rentman: Power/Extensiones; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Rods 6”,R-538,MON,,,,Good,3,owned,,6B,1000346,Rods 6”,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 538; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable AC Americano,R-546,POW,,,,Good,29,owned,,02 A,1000354,Cable AC Americano,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 546; Carpeta Rentman: Power/Alimentadores AC/No Asignados; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Artículo de Limpieza Duster (Aire Comprimido),R-547,ACC,,,,Good,4,owned,,,1000355,Artículo de Limpieza Duster (Aire Comprimido),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 547; Carpeta Rentman: Gastables/Artículos de Limpieza; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Artículo de Limpieza WD-40,R-548,ACC,,,,Good,2,owned,,,1000356,Artículo de Limpieza WD-40,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 548; Carpeta Rentman: Gastables/Artículos de Limpieza; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Artículo de Limpieza Bubble Scrubbing,R-549,ACC,,,,Good,1,owned,,,1000357,Artículo de Limpieza Bubble Scrubbing,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 549; Carpeta Rentman: Gastables/Artículos de Limpieza; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lanillas,R-550,ACC,,,,Good,8,owned,,,1000358,Lanillas,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 550; Carpeta Rentman: Gastables/Artículos de Limpieza; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Paño Atomos,R-551,ACC,,,,Good,3,owned,,,1000359,Paño Atomos,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 551; Carpeta Rentman: Gastables/Artículos de Limpieza; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Paños,R-552,ACC,,,,Good,5,owned,,,1000360,Paños,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 552; Carpeta Rentman: Gastables/Artículos de Limpieza; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Velcro,R-553,ACC,,,,Good,1,owned,,,1000361,Tape Velcro,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 553; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Carta de Color Xrite Classic Checker,R-554,ACC,,,,Good,1,owned,,,1000362,Carta de Color Xrite Classic Checker,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 554; Carpeta Rentman: Accesorios/Accesorios Color; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Gray Charts 18% Kit w/ Strap,R-555,ACC,,,,Good,3,owned,,,1000363,Gray Charts 18% Kit w/ Strap,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 555; Carpeta Rentman: Accesorios/Accesorios Color; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Gaffer (Negro),R-556,ACC,,,,Good,1,owned,,,1000364,Tape Gaffer (Negro),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 556; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cinta Métrica,R-557,TOOL,,,,Good,1,owned,,,1000365,Cinta Métrica,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 557; Carpeta Rentman: Accesorios/Herramientas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Fajas,R-558,ACC,,,,Good,2,owned,,,1000366,Fajas,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 558; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Bulto Cinebag Tools Small,R-559,CAS,,,,Good,1,owned,,02 D,1000367,Bulto Cinebag Tools Small,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 559; Carpeta Rentman: Maletas/Cases/Bultos/Bultos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Bulto Tool Bag (Negro),R-560,CAS,,,,Good,1,owned,,08 F,1000368,Bulto Tool Bag (Negro),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 560; Carpeta Rentman: Maletas/Cases/Bultos/Bultos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Guantes,R-561,TOOL,,,,Good,1,owned,,,1000369,Guantes,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 561; Carpeta Rentman: Accesorios/Herramientas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cover Bag It,R-562,ACC,,,,Good,1,owned,,,1000370,Cover Bag It,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 562; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lonas Plásticas,R-563,ACC,,,,Good,3,owned,,,1000371,Lonas Plásticas,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 563; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Capa de Lluvia,R-564,ACC,,,,Good,1,owned,,,1000372,Capa de Lluvia,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 564; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Luz LED USB (Small),R-565,ACC,,,,Good,2,owned,,,1000373,Luz LED USB (Small),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 565; Carpeta Rentman: Accesorios; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Antenna Replacement (S),R-567,ACC,,,,Good,30,owned,,6B,1000375,Antenna Replacement (S),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 567; Carpeta Rentman: Wireless Systems/Accesorios Wireless Systems; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Antenna Replacement (Flat),R-568,ACC,,,,Good,5,owned,,6B,1000376,Antenna Replacement (Flat),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 568; Carpeta Rentman: Wireless Systems/Accesorios Wireless Systems; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Antenna Replacement (Skinny),R-569,ACC,,,,Good,6,owned,,6B,1000377,Antenna Replacement (Skinny),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 569; Carpeta Rentman: Wireless Systems/Accesorios Wireless Systems; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Antenna Replacement (M),R-570,ACC,,,,Good,5,owned,,6B,1000378,Antenna Replacement (M),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 570; Carpeta Rentman: Wireless Systems/Accesorios Wireless Systems; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Herramienta Llave Allen (Pack),R-571,TOOL,,,,Good,3,owned,,,1000379,Herramienta Llave Allen (Pack),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 571; Carpeta Rentman: Accesorios/Herramientas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Calibrador Monitor x-Rite i1 Display Pro,R-572,ACC,,,,Good,1,owned,,,1000380,Calibrador Monitor x-Rite i1 Display Pro,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 572; Carpeta Rentman: Accesorios/Accesorios Color; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Lexar CF2,R-577,READ,,,24050863000534,Good,3,owned,,7C,1000385,Lector Lexar CF2,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 577; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Lexar CF2,R-577-2,READ,,,24050272200730,Good,3,owned,,7C,1000385,Lector Lexar CF2,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 577; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Lexar CF2,R-577-3,READ,,,24050272200856,Good,3,owned,,7C,1000385,Lector Lexar CF2,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 577; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector RED Mini-Mag,R-578,READ,,,,Good,1,owned,,,1000386,Lector RED Mini-Mag,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 578; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Lector RED Mag 1.8""",R-579,READ,,,,Good,2,owned,,,1000387,"Lector RED Mag 1.8""",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 579; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Transcend USB 3.0,R-580,READ,,,673755-1046,Good,5,owned,,7C,1000388,Lector Transcend USB 3.0,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 580; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Transcend USB 3.0,R-580-2,READ,,,673755-1058,Good,5,owned,,7C,1000388,Lector Transcend USB 3.0,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 580; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Transcend USB 3.0,R-580-3,READ,,,714671-3765,Good,5,owned,,7C,1000388,Lector Transcend USB 3.0,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 580; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Label 18mm White,R-581,ACC,,,,Good,9,owned,,,1000389,Tape Label 18mm White,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 581; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Label 12 mm White,R-582,ACC,,,,Good,4,owned,,,1000390,Tape Label 12 mm White,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 582; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Label 18mm Blue,R-583,ACC,,,,Good,5,owned,,,1000391,Tape Label 18mm Blue,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 583; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Label 18mm Red,R-584,ACC,,,,Good,6,owned,,,1000392,Tape Label 18mm Red,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 584; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Label 24mm White,R-585,ACC,,,,Good,1,owned,,,1000393,Tape Label 24mm White,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 585; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Label Black on Metalic Silver 12mm,R-586,ACC,,,,Good,2,owned,,,1000394,Tape Label Black on Metalic Silver 12mm,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 586; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tape Label Glow in the Dark 12mm,R-587,ACC,,,,Good,1,owned,,,1000395,Tape Label Glow in the Dark 12mm,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 587; Carpeta Rentman: Gastables; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Bulto Accessories P,R-588,CAS,,,,Good,1,owned,,07 F,1000396,Bulto Accessories P,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 588; Carpeta Rentman: Maletas/Cases/Bultos/Bultos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Bulto Though Built Large,R-589,CAS,,,,Good,2,owned,,08 F,1000397,Bulto Though Built Large,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 589; Carpeta Rentman: Maletas/Cases/Bultos/Bultos; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Mochila JVSTZON,R-590,CAS,,,,Good,2,owned,,07 F,1000398,Mochila JVSTZON,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 590; Carpeta Rentman: Maletas/Cases/Bultos/Mochilas; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Convertidor Video AJA T-Tap,R-591,ACC,,,K0215646,Good,1,owned,,7C,1000399,Convertidor Video AJA T-Tap,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 591; Carpeta Rentman: Capture & Playback; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Convertidor Video AJA U-Tap SDI,R-592,ACC,,,K0532844,Good,1,owned,,7C,1000400,Convertidor Video AJA U-Tap SDI,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 592; Carpeta Rentman: Capture & Playback; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Convertidor Video Porta SDI- HDMI,R-593,SIG,,,,Good,1,owned,,,1000401,Convertidor Video Porta SDI- HDMI,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 593; Carpeta Rentman: Accesorios/Accesorios Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cargador Pilas Recargables WATSON,R-594,POW,,,BA0616,Good,4,owned,,6B,1000402,Cargador Pilas Recargables WATSON,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 594; Carpeta Rentman: Power/Cargadores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Cargador Pilas Recargables WATSON,R-594-2,POW,,,BA1113,Good,4,owned,,6B,1000402,Cargador Pilas Recargables WATSON,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 594; Carpeta Rentman: Power/Cargadores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Cargador Pilas Recargables WATSON,R-594-3,POW,,,BA0616,Good,4,owned,,6B,1000402,Cargador Pilas Recargables WATSON,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 594; Carpeta Rentman: Power/Cargadores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Pilas Recargables Watson MX AA,R-595,BATT,,,,Good,2,owned,,,1000403,Pilas Recargables Watson MX AA,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 595; Carpeta Rentman: Power/Baterías; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Pilas Recargables Activ Energy AA,R-596,BATT,,,,Good,4,owned,,,1000404,Pilas Recargables Activ Energy AA,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 596; Carpeta Rentman: Power/Baterías; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cargador Pilas Recargables 2U GP,R-597,POW,,,,Good,1,owned,,,1000405,Cargador Pilas Recargables 2U GP,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 597; Carpeta Rentman: Power/Cargadores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Plate V Mount,R-600,ACC,,,,Good,8,owned,,2A,1000408,Plate V Mount,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 600; Carpeta Rentman: Accesorios/Plates; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cargador Dolgin Sony-L Mount,R-601,POW,,,,Good,1,owned,,,1000409,Cargador Dolgin Sony-L Mount,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 601; Carpeta Rentman: Power/Cargadores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Rack Connector BNC,R-602,SIG,,,,Good,38,owned,,6B,1000410,Rack Connector BNC,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 602; Carpeta Rentman: Accesorios/Accesorios Video; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Tapa Panel Monitor (1 Color Pack),R-604,MON,,,,Good,9,owned,,,1000412,Tapa Panel Monitor (1 Color Pack),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 604; Carpeta Rentman: Monitores/Accesorios Monitores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Internet Portátil Huawei,R-605,ACC,,,,Good,1,owned,,,1000413,Internet Portátil Huawei,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 605; Carpeta Rentman: Wireless Systems; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Impresora Label Epson LW-600P,R-606,ACC,,,UCVZ410215H,Good,4,owned,,LABEL,1000414,Impresora Label Epson LW-600P,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 606; Carpeta Rentman: Accesorios/Impresoras; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 1,,,
Enclosure Atomos,R-607,ACC,,,,Good,4,owned,,7C,1000415,Enclosure Atomos,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 607; Carpeta Rentman: Archiving/Enclosure; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Enclosure Atomos (w/ Drive),R-608,ACC,,,,Good,2,owned,,7C,1000416,Enclosure Atomos (w/ Drive),Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 608; Carpeta Rentman: Archiving/Enclosure; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Lector Disco Atomos SSD,R-609,READ,,,K534DCK018556,Good,1,owned,,7C,1000417,Lector Disco Atomos SSD,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 609; Carpeta Rentman: Lectores; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
