name,code,category,brand,model,serial,condition,quantity,ownership,location,warehouse,qr,description,notes,purchasePrice,replacementValue,currentBookValue
Cable Data Thunderbolt 2 1.5ft,R-1073,DAC,,,,Good,7,owned,,08 E,1001019,Cable Data Thunderbolt 2 1.5ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1073; Carpeta Rentman: Cables/Cables Data; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Data Thunderbolt 3 2ft,R-1074,DAC,,,,Good,9,owned,,08 E,1001020,Cable Data Thunderbolt 3 2ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1074; Carpeta Rentman: Cables/Cables Data; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio XLR 100ft,R-1075,SOUND,,,,Good,2,owned,,04 A,1001021,Cable Audio XLR 100ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1075; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Adaptador Audio XLR - 1/4"" 1ft",R-1076,SOUND,,,,Good,2,owned,,,1001022,"Adaptador Audio XLR - 1/4"" 1ft",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1076; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio Splitter XLR Fe / Ma 1.5ft,R-1077,SOUND,,,,Good,2,owned,,08 E,1001023,Cable Audio Splitter XLR Fe / Ma 1.5ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1077; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio Fe / Ma 2ft,R-1078,SOUND,,,,Good,2,owned,,08 E,1001024,Cable Audio Fe / Ma 2ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1078; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Audio XLR Fe to MiniJack 1ft,R-1079,SOUND,,,,Good,1,owned,,,1001025,Adaptador Audio XLR Fe to MiniJack 1ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1079; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio XLR Fe/Ma 1ft,R-1080,SOUND,,,,Good,2,owned,,04 A,1001026,Cable Audio XLR Fe/Ma 1ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1080; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Audio XLR Fe - MiniJack 2ft,R-1081,SOUND,,,,Good,2,owned,,,1001027,Adaptador Audio XLR Fe - MiniJack 2ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1081; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio MiniJack Tela 1.5ft,R-1082,SOUND,,,,Good,2,owned,,08 E,1001028,Cable Audio MiniJack Tela 1.5ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1082; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio MiniJack Tela 3ft,R-1083,SOUND,,,,Good,2,owned,,08 E,1001029,Cable Audio MiniJack Tela 3ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1083; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio MiniJack 5ft,R-1084,SOUND,,,,Good,3,owned,,04 A,1001030,Cable Audio MiniJack 5ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1084; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
"Adaptador Audio Splitter MiniJack 9""",R-1085,SOUND,,,,Good,1,owned,,,1001031,"Adaptador Audio Splitter MiniJack 9""",Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1085; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Audio MiniJack / RCA 5ft,R-1086,SOUND,,,,Good,1,owned,,04 A,1001032,Cable Audio MiniJack / RCA 5ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1086; Carpeta Rentman: Cables/Cables Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Audio MiniJack / TRS,R-1087,SOUND,,,,Good,2,owned,,,1001033,Adaptador Audio MiniJack / TRS,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1087; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Audio MiniJack / USBC 1ft,R-1088,SOUND,,,,Good,1,owned,,,1001034,Adaptador Audio MiniJack / USBC 1ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1088; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Adaptador Audio MiniJack,R-1089,SOUND,,,,Good,1,owned,,,1001035,Adaptador Audio MiniJack,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1089; Carpeta Rentman: Accesorios/Accesorios Audio; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network Cat 6 3ft,R-1090,NEC,,,,Good,6,owned,,07 E,1001036,Cable Network Cat 6 3ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1090; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network Cat 6 1ft,R-1091,NEC,,,,Good,2,owned,,07 E,1001037,Cable Network Cat 6 1ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1091; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network - USB2 3ft,R-1092,NEC,,,,Good,1,owned,,07 E,1001038,Cable Network - USB2 3ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1092; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network Cat 6 10ft,R-1093,NEC,,,,Good,1,owned,,07 E,1001039,Cable Network Cat 6 10ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1093; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network Cat 7 Tela 25ft,R-1094,NEC,,,,Good,2,owned,,04 A,1001040,Cable Network Cat 7 Tela 25ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1094; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network Cat 6 25ft,R-1095,NEC,,,,Good,3,owned,,04 A,1001041,Cable Network Cat 6 25ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1095; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Cable Network Cat 5E 50ft,R-1096,NEC,,,,Good,1,owned,,04 A,1001042,Cable Network Cat 5E 50ft,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1096; Carpeta Rentman: Cables/Cables Network; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
Color Chart Datacolor SpyderCheckr 24,R-1097,ACC,,,,Good,1,owned,,,1001043,Color Chart Datacolor SpyderCheckr 24,Origen: Rentman legacy inventory 2021-10-15; Código Rentman original: 1097; Carpeta Rentman: Accesorios/Accesorios Color; Tipo carpeta Rentman: Equipos; Tipo item Rentman: Articulo; Tiene accesorios Rentman: 0,,,
